Star,Ra,Dec,Mag
9621.0,0.5395439898,0.4526589714,5.7591
9622.0,0.5396328585,-0.0716172156,5.7274
9640.0,0.5406098378,0.7387952238,2.2409
9677.0,0.5431922819,-0.5113263085,4.6405
9727.0,0.5459283365,1.3488158617,5.3539
9763.0,0.5477117959,1.3284592824,5.3823
9836.0,0.5522449074,0.3952892244,5.0756
9884.0,0.5548900421,0.4095027186,2.1726
9977.0,0.5606249131,0.6607674026,4.8326
9990.0,0.5614564742,1.0196842691,5.8124
10035.0,0.5635472847,-0.7595056963,5.9989
10053.0,0.5647075481,0.4527379472,5.0654
10064.0,0.5652336717,0.6106451889,3.0625
10155.0,0.569962141,0.34034625,5.7378
10212.0,0.573134309,0.1495761601,5.757
10280.0,0.5775820986,0.528890868,5.0791
10305.0,0.5794000833,-0.0417737515,5.7721
10306.0,0.5794481401,0.3702014879,5.3294
10320.0,0.5799190998,-0.5362322111,5.2714
10324.0,0.5803227759,0.1544049601,4.5172
10328.0,0.5805579719,0.2666847491,5.8196
10340.0,0.5812921524,0.7719886102,4.9716
10366.0,0.5829413872,0.8912738982,5.4642
10418.0,0.5857399597,-1.1840584493,5.6677
10513.0,0.5911254446,-1.1823966016,5.828
10535.0,0.5921636272,0.4370872595,5.6885
10540.0,0.5923891684,0.4499999666,5.888
10559.0,0.5931425134,0.5822239643,5.258
10602.0,0.5956299907,-0.8990559484,3.5211
10642.0,0.5977017863,-0.1120825358,5.6658
10644.0,0.5979510776,0.597335962,4.9831
10670.0,0.5991450381,0.5907471917,4.0211
10718.0,0.6021255778,1.0105422892,5.9172
10723.0,0.6022277722,0.0306636837,5.7237
10732.0,0.6026873937,0.3473407856,5.5924
10793.0,0.6062829348,0.4999089688,5.3089
10819.0,0.607727112,0.826936792,5.3248
10826.0,0.6080135631,-0.0519595123,4.9898
10871.0,0.6104468482,-0.9764216868,5.926
10944.0,0.615095689,0.875309526,5.5474
11001.0,0.6185027212,-1.1983330069,4.098
11021.0,0.619347182,0.0069061267,5.3733
11029.0,0.619696641,-0.1880999692,5.5187
11046.0,0.6204941329,-0.0154416299,5.5043
11060.0,0.6211506243,0.9746905757,5.2722
